name,kana,affiliation1,affiliation2,affiliation3,keyword1,keyword2,keyword3,link,image
池松 香,いけまつ,ヤフー株式会社,東北大学,,ヒューマンコンピュータインタラクション（HCI）,タンジブルユーザインタフェース（TUI）,,https://sites.google.com/view/ikema2,ikematsu
入江 英嗣,いりえ,東京大学,,,,,,https://www.mtl.t.u-tokyo.ac.jp/~irie/,irie
岩本 拓也,いわもと,サイバーエージェント,,,,,,https://ca-robots.com/member/,iwamoto
沖 真帆,おき,はこだて未来大学,,,,,,https://okimaho.com/,
奥本 隼,おくもと,TwoGate,,,,,,,okumoto
開原 沙文,かいはら,チームラボ,,,,,,,kaihara
梶本 裕之,かじもと,電気通信大学,,,ハプティクス,バーチャルリアリティ,,https://kaji-lab.jp/ja/index.php?people/kaji,kajimoto
加藤 邦拓,かとう,東京工科大学,,,ヒューマンコンピュータインタラクション（HCI）,ファブリケーション,,https://kkunihir.com,kato
川口 一画,かわぐち,筑波大学,,,,,,https://sites.google.com/view/ikkakukawaguchi/home,kawaguchi
倉本 到,くらもと,福知山公立大学,,,エンタテインメントコンピューティング,HAI/HRI,HCI,https://itarukuramoto.wordpress.com,kuramoto
栗原 一貴,くりはら,津田塾大学,クーリード株式会社,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://www.unryu.org/,kurihara
小池 英樹,こいけ,東京工業大学,,,,,,https://www.vogue.cs.titech.ac.jp/koike,koike
小山 裕己,こやま,産業技術総合研究所,,,コンピュータグラフィクス,デザイン支援,最適化計算,https://koyama.xyz/index-j.html,koyama
阪口 紗季,さかぐち,東京大学,,,,,,https://sites.google.com/site/sakisakaguchiportfolio0044/,sakaguchi
坂本 大介,さかもと,北海道大学,,,,,,https://daisukesakamoto.jp/,sakamoto
櫻井 翔,さくらい,電気通信大学,,,,,,https://sakuraisho.info/,
志築 文太郎,しづき,筑波大学,,,,,,https://www.iplab.cs.tsukuba.ac.jp/~shizuki/index-j.html,shizuki
瀬川 典久,せがわ,京都産業大学,,,,,,http://sensors.kyoto-su.ac.jp/,
塚田 浩二,つかだ,はこだて未来大学,,,,,,https://mobiquitous.com/,tsuka
佃 洸摂,つくだ,産業技術総合研究所,,,情報推薦,情報検索,Webマイニング,http://ktsukuda.me,tsukuda
土田 修平,つちだ,神戸大学,,,ダンス情報処理,エンタテインメントコンピューティング,,https://shuhei2306.com/index-j.html,tsuchida
寺田 努,てらだ,神戸大学,,,ウェアラブルコンピューティング,エンタテインメントコンピューティング,情報提示,http://tt-lab.jp/terada/,terada
中野 倫靖,なかの,産業技術総合研究所,,,,,,https://staff.aist.go.jp/t.nakano/index-j.html,nakano
鳴海 紘也,なるみ,東京大学,,,形状変化インタフェース,ソフトロボティクス,デジタルファブリケーション,https://narumi.me/,narumi
原 貴洋,はら,ヤマハ株式会社,,,ネットワーク,リアルタイムオーディオ通信,,,hara
樋口 啓太,ひぐち,Preferred Networks,醸燻酒類研究所,,ヒューマンコンピュータインタラクション（HCI）,Computer Vision for HCI,HCI for Machine Learning,http://keihigu.github.io/,higuchi
福里 司,ふくさと,東京大学,,,コンピュータグラフィックス,ユーザインタフェース,,https://sites.google.com/view/tsukasafukusato/about-me-j,
福地 健太郎,ふくち,明治大学,,,,,,https://fukuchi.org/,fukuchi
細部 博史,ほそべ,法政大学,,,,,,http://www.hosobe.org/ja/,hosobe
真鍋 宏幸,まなべ,芝浦工業大学,,,入出力デバイス,ファブリケーション,,http://pai.ise.shibaura-it.ac.jp/,manabe
宮下 芳明,みやした,明治大学,,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://miyashita.com/members/%E5%AE%AE%E4%B8%8B%E8%8A%B3%E6%98%8E/,miyashita
村尾 和哉,むらお,立命館大学,,,ウェアラブル・ユビキタス,人間行動認識,ユーザインタフェース,http://muraokazuya.net/,murao
簗瀬 洋平,やなせ,Unity,,,,,,https://sites.google.com/site/yoh7686/home,yanase
横窪 安奈,よこくぼ,青山学院大学,,,,,,https://www.ankorobe.com/,yokokubo
