name,kana,affiliation1,affiliation2,affiliation3,keyword1,keyword2,keyword3,link,image
秋山 耀,あきやま,明治大学,,,,,,https://miyashita.com/members/%E7%A7%8B%E5%B1%B1%E8%80%80/,
池松 香,いけまつ,ヤフー株式会社,東北大学,,ヒューマンコンピュータインタラクション（HCI）,タンジブルユーザインタフェース（TUI）,,https://sites.google.com/view/ikema2,ikematsu
入江 英嗣,いりえ,東京大学,,,,,,https://www.mtl.t.u-tokyo.ac.jp/~irie/,irie
岩本 拓也,いわもと,サイバーエージェント,,,,,,https://ca-robots.com/member/,iwamoto
大西 鮎美,おおにし,神戸大学,,,,,,http://cse.eedept.kobe-u.ac.jp/ohnishi/,ohnishi
奥本 隼,おくもと,TwoGate,,,,,,,okumoto
梶本 裕之,かじもと,電気通信大学,,,ハプティクス,バーチャルリアリティ,,https://kaji-lab.jp/ja/index.php?people/kaji,kajimoto
加藤 邦拓,かとう,東京工科大学,,,ヒューマンコンピュータインタラクション（HCI）,ファブリケーション,,https://kkunihir.com,kato
川口 一画,かわぐち,筑波大学,,,,,,https://sites.google.com/view/ikkakukawaguchi/home,kawaguchi
倉本 到,くらもと,福知山公立大学,,,エンタテインメントコンピューティング,HAI/HRI,HCI,https://itarukuramoto.wordpress.com,kuramoto
栗原 一貴,くりはら,津田塾大学,クーリード株式会社,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://www.unryu.org/,kurihara
小池 英樹,こいけ,東京工業大学,,,,,,https://www.vogue.cs.titech.ac.jp/koike,koike
坂本 大介,さかもと,北海道大学,,,,,,https://daisukesakamoto.jp/,sakamoto
志築 文太郎,しづき,筑波大学,,,,,,https://www.iplab.cs.tsukuba.ac.jp/~shizuki/index-j.html,shizuki
瀬川 典久,せがわ,京都産業大学,,,,,,http://sensors.kyoto-su.ac.jp/,
高田 崚介,たかだ,神戸市立工業高等専門学校,,,,,,https://rtakada.jp/,takada
塚田 浩二,つかだ,はこだて未来大学,,,,,,https://mobiquitous.com/,tsuka
土田 修平,つちだ,神戸大学,,,ダンス情報処理,エンタテインメントコンピューティング,,https://shuhei2306.com/index-j.html,tsuchida
中野 倫靖,なかの,産業技術総合研究所,,,,,,https://staff.aist.go.jp/t.nakano/index-j.html,nakano
鳴海 紘也,なるみ,東京大学,,,形状変化インタフェース,ソフトロボティクス,デジタルファブリケーション,https://narumi.me/,narumi
原 貴洋,はら,ヤマハ株式会社,,,ネットワーク,リアルタイムオーディオ通信,,,hara
樋口 啓太,ひぐち,Preferred Networks,醸燻酒類研究所,,ヒューマンコンピュータインタラクション（HCI）,Computer Vision for HCI,HCI for Machine Learning,http://keihigu.github.io/,higuchi
福里 司,ふくさと,東京大学,,,コンピュータグラフィックス,ユーザインタフェース,,https://sites.google.com/view/tsukasafukusato/about-me-j,
福地 健太郎,ふくち,明治大学,,,,,,https://fukuchi.org/,fukuchi
丸山 一貴,まるやま,明星大学,,,プログラミング環境,Webユーザインタフェース,大学ICTサービス,https://www.iag.meisei-u.ac.jp/meuhp/KgApp?resId=S000550,maruyama
宮下 芳明,みやした,明治大学,,,ヒューマンコンピュータインタラクション（HCI）,エンタテインメントコンピューティング,,https://miyashita.com/members/%E5%AE%AE%E4%B8%8B%E8%8A%B3%E6%98%8E/,miyashita
宮藤 詩緒,みやふじ,東京工業大学,,,,,,,
村尾 和哉,むらお,立命館大学,,,ウェアラブル・ユビキタス,人間行動認識,ユーザインタフェース,http://muraokazuya.net/,murao
山本 和彦,やまもと,YAMAHA,,,機械学習,ヒューマンコンピュータインタラクション（HCI）,音楽情報処理,http://www.yamo-n.org/,yamamoto
横窪 安奈,よこくぼ,青山学院大学,,,,,,https://www.ankorobe.com/,yokokubo
